game_id,home_team,away_team,season_type,week,stadium,roof,surface,temp,wind,home_win
2022_15_ARI_DEN,DEN,ARI,REG,15,Empower Field at Mile High,outdoors,grass,37.0,4.0,1
2022_15_ATL_NO,NO,ATL,REG,15,Caesars Superdome,dome,sportturf,,,1
2022_15_BAL_CLE,CLE,BAL,REG,15,Cleveland Browns Stadium,outdoors,grass,34.0,12.0,1
2022_15_CIN_TB,TB,CIN,REG,15,Raymond James Stadium,outdoors,grass,66.0,6.0,0
2022_15_DAL_JAX,JAX,DAL,REG,15,EverBank Stadium,outdoors,grass,54.0,9.0,0
2022_15_DET_NYJ,NYJ,DET,REG,15,MetLife Stadium,outdoors,fieldturf,38.0,13.0,0
2022_15_IND_MIN,MIN,IND,REG,15,U.S. Bank Stadium,dome,sportturf,,,0
2022_15_KC_HOU,HOU,KC,REG,15,NRG Stadium,closed,astroturf,,,0
2022_15_LA_GB,GB,LA,REG,15,Lambeau Field,outdoors,grass,15.0,4.0,1
2022_15_MIA_BUF,BUF,MIA,REG,15,Highmark Stadium,outdoors,a_turf,29.0,4.0,1
2022_15_NE_LV,LV,NE,REG,15,Allegiant Stadium,dome,grass,,,1
2022_15_NYG_WAS,WAS,NYG,REG,15,Commanders Field,outdoors,grass,35.0,13.0,0
2022_15_PHI_CHI,CHI,PHI,REG,15,Soldier Field,outdoors,grass,17.0,17.0,0
2022_15_PIT_CAR,CAR,PIT,REG,15,Bank of America Stadium,outdoors,grass,47.0,7.0,0
2022_15_SF_SEA,SEA,SF,REG,15,Lumen Field,outdoors,fieldturf,,,0
2022_15_TEN_LAC,LAC,TEN,REG,15,SoFi Stadium,dome,matrixturf,,,0
2022_16_ATL_BAL,BAL,ATL,REG,16,M&T Bank Stadium,outdoors,grass,17.0,9.0,1
2022_16_BUF_CHI,CHI,BUF,REG,16,Soldier Field,outdoors,grass,7.0,17.0,0
2022_16_CIN_NE,NE,CIN,REG,16,Gillette Stadium,outdoors,fieldturf,21.0,2.0,0
2022_16_DEN_LA,LA,DEN,REG,16,SoFi Stadium,dome,matrixturf,,,1
2022_16_DET_CAR,CAR,DET,REG,16,Bank of America Stadium,outdoors,grass,20.0,12.0,1
2022_16_GB_MIA,MIA,GB,REG,16,Hard Rock Stadium,outdoors,grass,45.0,14.0,0
2022_16_HOU_TEN,TEN,HOU,REG,16,Nissan Stadium,outdoors,grass,22.0,14.0,1
2022_16_JAX_NYJ,NYJ,JAX,REG,16,MetLife Stadium,outdoors,fieldturf,43.0,17.0,0
2022_16_LAC_IND,IND,LAC,REG,16,Lucas Oil Stadium,closed,fieldturf,,,0
2022_16_LV_PIT,PIT,LV,REG,16,Acrisure Stadium,outdoors,grass,9.0,21.0,0
2022_16_NO_CLE,CLE,NO,REG,16,Cleveland Browns Stadium,outdoors,grass,6.0,27.0,0
2022_16_NYG_MIN,MIN,NYG,REG,16,U.S. Bank Stadium,dome,sportturf,,,0
2022_16_PHI_DAL,DAL,PHI,REG,16,AT&T Stadium,closed,matrixturf,,,0
2022_16_SEA_KC,KC,SEA,REG,16,GEHA Field at Arrowhead Stadium,outdoors,grass,12.0,9.0,1
2022_16_TB_ARI,ARI,TB,REG,16,State Farm Stadium,open,grass,,,1
2022_16_WAS_SF,SF,WAS,REG,16,Levi's® Stadium,outdoors,grass,54.0,2.0,1
2022_17_ARI_ATL,ATL,ARI,REG,17,Mercedes-Benz Stadium,closed,fieldturf,,,0
2022_17_CAR_TB,TB,CAR,REG,17,Raymond James Stadium,outdoors,grass,75.0,2.0,0
2022_17_CHI_DET,DET,CHI,REG,17,Ford Field,dome,fieldturf,,,1
2022_17_CLE_WAS,WAS,CLE,REG,17,Commanders Field,outdoors,grass,59.0,9.0,0
2022_17_DAL_TEN,TEN,DAL,REG,17,Nissan Stadium,outdoors,grass,56.0,4.0,0
2022_17_DEN_KC,KC,DEN,REG,17,GEHA Field at Arrowhead Stadium,outdoors,grass,47.0,2.0,0
2022_17_IND_NYG,NYG,IND,REG,17,MetLife Stadium,outdoors,fieldturf,52.0,14.0,1
2022_17_JAX_HOU,HOU,JAX,REG,17,NRG Stadium,closed,astroturf,,,0
2022_17_LA_LAC,LAC,LA,REG,17,SoFi Stadium,dome,matrixturf,,,1
2022_17_MIA_NE,NE,MIA,REG,17,Gillette Stadium,outdoors,fieldturf,53.0,2.0,1
2022_17_MIN_GB,GB,MIN,REG,17,Lambeau Field,outdoors,grass,39.0,7.0,1
2022_17_NO_PHI,PHI,NO,REG,17,Lincoln Financial Field,outdoors,grass,54.0,11.0,0
2022_17_NYJ_SEA,SEA,NYJ,REG,17,Lumen Field,outdoors,fieldturf,45.0,2.0,1
2022_17_PIT_BAL,BAL,PIT,REG,17,M&T Bank Stadium,outdoors,grass,44.0,2.0,1
2022_17_SF_LV,LV,SF,REG,17,Allegiant Stadium,dome,grass,,,1
2022_18_ARI_SF,SF,ARI,REG,18,Levi's® Stadium,outdoors,grass,57.0,2.0,1
2022_18_BAL_CIN,CIN,BAL,REG,18,Paycor Stadium,outdoors,fieldturf,38.0,7.0,1
2022_18_CAR_NO,NO,CAR,REG,18,Caesars Superdome,dome,sportturf,,,0
2022_18_CLE_PIT,PIT,CLE,REG,18,Acrisure Stadium,outdoors,grass,36.0,8.0,1
2022_18_DAL_WAS,WAS,DAL,REG,18,Commanders Field,outdoors,grass,42.0,7.0,1
2022_18_DET_GB,GB,DET,REG,18,Lambeau Field,outdoors,grass,21.0,4.0,0
2022_18_HOU_IND,IND,HOU,REG,18,Lucas Oil Stadium,closed,fieldturf,,,0
2022_18_KC_LV,LV,KC,REG,18,Allegiant Stadium,dome,grass,,,0
2022_18_LAC_DEN,DEN,LAC,REG,18,Empower Field at Mile High,outdoors,grass,43.0,4.0,1
2022_18_LA_SEA,SEA,LA,REG,18,Lumen Field,outdoors,fieldturf,45.0,4.0,0
2022_18_MIN_CHI,CHI,MIN,REG,18,Soldier Field,outdoors,grass,32.0,2.0,0
2022_18_NE_BUF,BUF,NE,REG,18,Highmark Stadium,outdoors,a_turf,30.0,6.0,1
2022_18_NYG_PHI,PHI,NYG,REG,18,Lincoln Financial Field,outdoors,grass,43.0,12.0,1
2022_18_NYJ_MIA,MIA,NYJ,REG,18,Hard Rock Stadium,outdoors,grass,75.0,9.0,1
2022_18_TB_ATL,ATL,TB,REG,18,Mercedes-Benz Stadium,closed,fieldturf,,,0
2022_18_TEN_JAX,JAX,TEN,REG,18,EverBank Stadium,outdoors,grass,56.0,4.0,0
2022_19_BAL_CIN,CIN,BAL,POST,19,Paycor Stadium,outdoors,fieldturf,30.0,4.0,0
2022_19_DAL_TB,TB,DAL,POST,19,Raymond James Stadium,outdoors,grass,58.0,2.0,0
2022_19_LAC_JAX,JAX,LAC,POST,19,EverBank Stadium,outdoors,grass,37.0,4.0,0
2022_19_MIA_BUF,BUF,MIA,POST,19,Highmark Stadium,outdoors,a_turf,27.0,4.0,0
2022_19_NYG_MIN,MIN,NYG,POST,19,U.S. Bank Stadium,dome,sportturf,,,0
2022_19_SEA_SF,SF,SEA,POST,19,Levi's® Stadium,outdoors,grass,57.0,11.0,1
2022_20_CIN_BUF,BUF,CIN,POST,20,Highmark Stadium,outdoors,a_turf,32.0,4.0,0
2022_20_DAL_SF,SF,DAL,POST,20,Levi's® Stadium,outdoors,grass,55.0,19.0,0
2022_20_JAX_KC,KC,JAX,POST,20,GEHA Field at Arrowhead Stadium,outdoors,grass,36.0,6.0,1
2022_20_NYG_PHI,PHI,NYG,POST,20,Lincoln Financial Field,outdoors,grass,40.0,6.0,1
2022_21_CIN_KC,KC,CIN,POST,21,GEHA Field at Arrowhead Stadium,outdoors,grass,22.0,13.0,1
2022_21_SF_PHI,PHI,SF,POST,21,Lincoln Financial Field,outdoors,grass,52.0,14.0,1
2022_22_KC_PHI,PHI,KC,POST,22,State Farm Stadium,closed,grass,,,1
